User-Facing Module Name,Technical Module Name,User-Facing Field Name,Technical Field Name,Data Source / Type,Primary Linkage (if applicable),Change Type,Notes / UI Consideration,helper
Contacts,contacts,First Name,first_name,Stored (Text),,Data exists,,ContactsFirst Name
Contacts,contacts,Middle Name,middle_name,Stored (Text),,Data exists,,ContactsMiddle Name
Contacts,contacts,Last Name,last_name,Stored (Text),,Data exists,,ContactsLast Name
Contacts,contacts,Full Name,(N/A - Formula),Formula (Concatenation),,Non-stored data,Formula: ${Contacts.First Name} ${Contacts.Last Name}. For display.,ContactsFull Name
Contacts,contacts,Title,title,Stored (Text),,Data exists,,ContactsTitle
Contacts,contacts,Email,email,Stored (Email),,Data exists,,ContactsEmail
Contacts,contacts,Phone,phone,Stored (Phone),,Data exists,,ContactsPhone
Contacts,contacts,Role (General),role,Stored (Picklist),,Data exists,Guardian; Mentor; Family Advisor; Teacher; School Administrator; Partner Contact,ContactsRole (General)
Contacts,contacts,Partner,partner_org_id,Stored (Lookup to Partners),To Partners via partner_id (Zoho ID),New addition,,ContactsPartner
Contacts,contacts,District,district_id,Stored (Lookup to Districts),To Districts via district_id (Zoho ID),New addition,,ContactsDistrict
Contacts,contacts,Organization,(N/A - Formula),Formula (Show Partner or District based on contact type),,Non-stored data,,ContactsOrganization
Contacts,contacts,Emergency Contact,emergency_contact,Stored (Boolean),,New addition,,ContactsEmergency Contact
Contacts,contacts,Preferred Language,language,Stored (Picklist),,Data exists,Standard list of languages.,ContactsPreferred Language
Contacts,contacts,Other Language,other_language,Stored (Text),,Data exists,,ContactsOther Language
Contacts,contacts,Date of Birth (DOB),dob,Stored (Date),,Data exists,,ContactsDate of Birth (DOB)
Contacts,contacts,Occupation,occupation,Stored (Text),,Data exists,,ContactsOccupation
Contacts,contacts,Time Zone,time_zone,Stored (Picklist),,Data exists,Pacific Time (PT); Mountain Time (MT); Central Time (CT); Eastern Time (ET),ContactsTime Zone
Contacts,contacts,Preferred Comm Channel,pref_channel,Stored (Picklist),,New addition,Email; Text; Phone Call,ContactsPreferred Comm Channel
Contacts,contacts,Opt-out Email,opt_out_email,Stored (Boolean),,Data exists,Checkbox. Not an option for primary guardian,ContactsOpt-out Email
Contacts,contacts,Opt-out Call,opt_out_call,Stored (Boolean),,New addition,Checkbox.,ContactsOpt-out Call
Contacts,contacts,Opt-out Text (SMS),opt_out_text,Stored (Boolean),,Data exists,Checkbox.,ContactsOpt-out Text (SMS)
Contacts,contacts,Opt-out Directory,opt_out_directory,Stored (Boolean),,Data exists,,ContactsOpt-out Directory
Contacts,contacts,Mailing Street,mailing_street,Stored (Text),,Data exists,,ContactsMailing Street
Contacts,contacts,Mailing City,mailing_city,Stored (Text),,Data exists,,ContactsMailing City
Contacts,contacts,Mailing State,mailing_state,Stored (Picklist),,Data exists,Standard US States and Territories list.,ContactsMailing State
Contacts,contacts,Mailing Zip Code,mailing_zip,Stored (Text),,Data exists,,ContactsMailing Zip Code
Contacts,contacts,Mailing Country,mailing_country,Stored (Picklist),,Data exists,Standard countries list.,ContactsMailing Country
Contacts,contacts,Notes,notes,Stored (Text),,Data exists,,ContactsNotes
Contacts,contacts,Status,status,Stored (Picklist),,Data exists,Active; Inactive,ContactsStatus
Contacts,contacts,Star Associations (Guardian),(N/A),Related List (Visual),Shows guardian_star records,Non-stored data,Stars for whom this Contact is a Guardian.,ContactsStar Associations (Guardian)
Contacts,contacts,Star Associations (Mentor),(N/A),Related List (Visual),Shows mentor_star records,Non-stored data,Stars for whom this Contact is/was a Mentor.,ContactsStar Associations (Mentor)
Contacts,contacts,Star Associations (Advisor),(N/A),Related List (Visual),Shows advisor_star records,Non-stored data,Stars for whom this Contact is/was an Advisor.,ContactsStar Associations (Advisor)
Contacts,contacts,Star Associations (Educator),(N/A),Related List (Visual),Shows educator_star records,Non-stored data,Stars with whom this Contact is associated as an Educator.,ContactsStar Associations (Educator)
Contacts,contacts,Mentor Session Events (as Mentor),(N/A),Related List (Visual),Shows mentor_sessions records where contact is mentor,Non-stored data,Unique session events conducted by this mentor.,ContactsMentor Session Events (as Mentor)
Contacts,contacts,Advisor Meetings (as Advisor),(N/A),Related List (Visual),Shows advisor_meetings records where contact is advisor,Non-stored data,,ContactsAdvisor Meetings (as Advisor)
Contacts,contacts,Owner,(Zoho System Field),System (Zoho User Lookup),Links to Zoho User,Non-stored data,,ContactsOwner
Contacts,contacts,Created By,(Zoho System Field),System (Zoho Managed),,Non-stored data,Auto-populated by Zoho.,ContactsCreated By
Contacts,contacts,Created Time,(Zoho System Field),System (Zoho Managed),,Non-stored data,Auto-populated by Zoho.,ContactsCreated Time
Contacts,contacts,Modified By,(Zoho System Field),System (Zoho Managed),,Non-stored data,Auto-populated by Zoho.,ContactsModified By
Contacts,contacts,Modified Time,(Zoho System Field),System (Zoho Managed),,Non-stored data,Auto-populated by Zoho.,ContactsModified Time
Guardian-Star Associations,guardian_star,Guardian-Star Record ID (Zoho ID),guardian_star_id (represents Zoho PK for the junction record),System (Zoho Primary Key),(N/A - is PK),Non-stored data,Zoho's unique system-generated ID for this association record.,Guardian-Star AssociationsGuardian-Star Record ID (Zoho ID)
Guardian-Star Associations,guardian_star,Star,star_id,Stored (Lookup to Stars),To Stars via star_id (Zoho ID),Data exists,"Mandatory. Displays Star Name, searchable by Name and NMS Star ID. Stores Zoho Record ID of the Star.",Guardian-Star AssociationsStar
Guardian-Star Associations,guardian_star,Guardian,guardian_id,Stored (Lookup to Contacts),To Contacts via guardian_id (Zoho ID),Data exists,"Mandatory. Displays Contact Name, searchable by Name. Stores Zoho Record ID of the Contact.",Guardian-Star AssociationsGuardian
Guardian-Star Associations,guardian_star,Relationship Type,relationship_type,Stored (Picklist),,Data exists,Primary; Secondary; Tertiary,Guardian-Star AssociationsRelationship Type
Guardian-Star Associations,guardian_star,Is Only Legal Guardian,only_legal_guardian,Stored (Boolean),,Data exists,,Guardian-Star AssociationsIs Only Legal Guardian
Guardian-Star Associations,guardian_star,Created By,(Zoho System Field),System (Zoho Managed),,Non-stored data,,Guardian-Star AssociationsCreated By
Guardian-Star Associations,guardian_star,Modified By,(Zoho System Field),System (Zoho Managed),,Non-stored data,,Guardian-Star AssociationsModified By
Guardian-Star Associations,guardian_star,Created Time,(Zoho System Field),System (Zoho Managed),,Non-stored data,,Guardian-Star AssociationsCreated Time
Guardian-Star Associations,guardian_star,Last Activity Time,(Zoho System Field),System (Zoho Managed),,Non-stored data,,Guardian-Star AssociationsLast Activity Time
Guardian-Star Associations,guardian_star,Modified Time,(Zoho System Field),System (Zoho Managed),,Non-stored data,,Guardian-Star AssociationsModified Time
Mentor-Star Associations,mentor_star,Mentor-Star Record ID (Zoho ID),mentor_star_id (represents Zoho PK for the junction record),System (Zoho Primary Key),(N/A - is PK),Non-stored data,Zoho's unique system-generated ID for this association record.,Mentor-Star AssociationsMentor-Star Record ID (Zoho ID)
Mentor-Star Associations,mentor_star,Star,star_id,Stored (Lookup to Stars),To Stars via star_id (Zoho ID),Data exists,"Mandatory. Displays Star Name, searchable by Name and NMS Star ID. Stores Zoho Record ID of the Star.",Mentor-Star AssociationsStar
Mentor-Star Associations,mentor_star,Mentor,mentor_id,Stored (Lookup to Contacts),To Contacts via mentor_id (Zoho ID),Data exists,"Mandatory. Displays Contact Name, searchable by Name. Stores Zoho Record ID of the Contact.",Mentor-Star AssociationsMentor
Mentor-Star Associations,mentor_star,Status,status,Stored (Picklist),,Data exists,Current; Past,Mentor-Star AssociationsStatus
Mentor-Star Associations,mentor_star,Default Session Time,session_time,Stored (DateTime),,New addition,The regularly scheduled/default session time.,Mentor-Star AssociationsDefault Session Time
Mentor-Star Associations,mentor_star,Start Date,start_date,Stored (Date),,New addition,Date this mentorship assignment started. Mandatory.,Mentor-Star AssociationsStart Date
Mentor-Star Associations,mentor_star,End Date,end_date,Stored (Date),,New addition,Date this mentorship assignment ended (if applicable).,Mentor-Star AssociationsEnd Date
Mentor-Star Associations,mentor_star,Created By,(Zoho System Field),System (Zoho Managed),,Non-stored data,,Mentor-Star AssociationsCreated By
Mentor-Star Associations,mentor_star,Modified By,(Zoho System Field),System (Zoho Managed),,Non-stored data,,Mentor-Star AssociationsModified By
Advisor-Star Associations,advisor_star,Advisor-Star Record ID (Zoho ID),advisor_star_id (represents Zoho PK for the junction record),System (Zoho Primary Key),(N/A - is PK),Non-stored data,Zoho's unique system-generated ID for this association record.,Advisor-Star AssociationsAdvisor-Star Record ID (Zoho ID)
Advisor-Star Associations,advisor_star,Star,star_id,Stored (Lookup to Stars),To Stars via star_id (Zoho ID),Data exists,"Mandatory. Displays Star Name, searchable by Name and NMS Star ID. Stores Zoho Record ID of the Star.",Advisor-Star AssociationsStar
Advisor-Star Associations,advisor_star,Advisor,advisor_id,Stored (Lookup to Contacts),To Contacts via advisor_id (Zoho ID),Data exists,"Mandatory. Displays Contact Name, searchable by Name. Stores Zoho Record ID of the Contact.",Advisor-Star AssociationsAdvisor
Advisor-Star Associations,advisor_star,Status,status,Stored (Picklist),,Data exists,Current; Past,Advisor-Star AssociationsStatus
Advisor-Star Associations,advisor_star,Start Date,start_date,Stored (Date),,New addition,Date this advisory assignment started. Mandatory.,Advisor-Star AssociationsStart Date
Advisor-Star Associations,advisor_star,End Date,end_date,Stored (Date),,New addition,Date this advisory assignment ended (if applicable).,Advisor-Star AssociationsEnd Date
Advisor-Star Associations,advisor_star,Created By,(Zoho System Field),System (Zoho Managed),,Non-stored data,,Advisor-Star AssociationsCreated By
Advisor-Star Associations,advisor_star,Modified By,(Zoho System Field),System (Zoho Managed),,Non-stored data,,Advisor-Star AssociationsModified By
Educator-Star Associations,educator_star,Educator-Star Record ID (Zoho ID),educator_star_id (represents Zoho PK for the junction record),System (Zoho Primary Key),(N/A - is PK),Non-stored data,Zoho's unique system-generated ID for this association record.,Educator-Star AssociationsEducator-Star Record ID (Zoho ID)
Educator-Star Associations,educator_star,Star,star_id,Stored (Lookup to Stars),To Stars via star_id (Zoho ID),Data exists,"Mandatory. Displays Star Name, searchable by Name and NMS Star ID. Stores Zoho Record ID of the Star.",Educator-Star AssociationsStar
Educator-Star Associations,educator_star,Educator,educator_id,Stored (Lookup to Contacts),To Contacts via educator_id (Zoho ID),Data exists,"Mandatory. Displays Contact Name, searchable by Name. Stores Zoho Record ID of the Contact.",Educator-Star AssociationsEducator
Educator-Star Associations,educator_star,School,school_id,Stored (Lookup to Schools),To Schools via school_id (Zoho ID),Data exists,,Educator-Star AssociationsSchool
Educator-Star Associations,educator_star,Role (at School/Context),role,Stored (Picklist),,Data exists,Teacher (Math); Teacher (General); Principal; Counselor; Gifted & Talented Coordinator,Educator-Star AssociationsRole (at School/Context)
Educator-Star Associations,educator_star,Start Date,start_date,Stored (Date),,New addition,,Educator-Star AssociationsStart Date
Educator-Star Associations,educator_star,End Date,end_date,Stored (Date),,New addition,,Educator-Star AssociationsEnd Date
Educator-Star Associations,educator_star,Status,status,Stored (Picklist),,Data exists,Current; Past,Educator-Star AssociationsStatus
Educator-Star Associations,educator_star,Created By,(Zoho System Field),System (Zoho Managed),,Non-stored data,,Educator-Star AssociationsCreated By
Educator-Star Associations,educator_star,Modified By,(Zoho System Field),System (Zoho Managed),,Non-stored data,,Educator-Star AssociationsModified By
Districts,districts,District Record ID (Zoho ID),district_id (represents Zoho PK),System (Zoho Primary Key),(N/A - is PK),Non-stored data,Zoho's unique system-generated ID for this District record.,DistrictsDistrict Record ID (Zoho ID)
Districts,districts,Name,name,Stored (Text),,Data exists,Mandatory.,DistrictsName
Districts,districts,City,city,Stored (Text),,Data exists,,DistrictsCity
Districts,districts,State,state,Stored (Picklist),,Data exists,Standard US States and Territories list.,DistrictsState
Districts,districts,Street,street,Stored (Text),,Data exists,,DistrictsStreet
Districts,districts,Zip Code,zip_code,Stored (Text),,Data exists,,DistrictsZip Code
Districts,districts,Phone,phone,Stored (Phone),,New addition,,DistrictsPhone
Districts,districts,Email,email,Stored (Email),,Data exists,,DistrictsEmail
Districts,districts,NCES ID,nces_id,Stored (Text),,Data exists,National Center for Education Statistics ID.,DistrictsNCES ID
Districts,districts,NCES District Link,nces_link,Stored (URL),,Data exists,,DistrictsNCES District Link
Districts,districts,Type,district_type,Stored (Picklist),,Data exists,"Charter, Regular Local, Regional (RESA), State (From NCES)",DistrictsType
Districts,districts,Website,website,Stored (URL),,Data exists,,DistrictsWebsite
Districts,districts,Schools in District,(N/A),Related List (Visual),Shows schools records linked via schools.district_id (Zoho ID),Non-stored data,Section on layout.,DistrictsSchools in District
Districts,districts,Created By,(Zoho System Field),System (Zoho Managed),,Non-stored data,,DistrictsCreated By
Districts,districts,Modified By,(Zoho System Field),System (Zoho Managed),,Non-stored data,,DistrictsModified By
Schools,schools,School Record ID (Zoho ID),school_id (represents Zoho PK),System (Zoho Primary Key),(N/A - is PK),Non-stored data,Zoho's unique system-generated ID for this School record.,SchoolsSchool Record ID (Zoho ID)
Schools,schools,Name,name,Stored (Text),,Data exists,Mandatory.,SchoolsName
