Record Id,District / School Name,District / School Owner.id,District / School Owner,Email,Secondary Email,Created By.id,Created By,Modified By.id,Modified By,Created Time,Modified Time,Last Activity Time,Email Opt Out,Tag,Unsubscribed Mode,Unsubscribed Time,Type,Locked,District.id,District,Show Admin Section,Regional Service Center,School Type,Setting,School Size,School Grades,District Type,District Size,NCES School ID,Street,City,Zip Code,State,School Website,District Website,NCES School Link,NCES District ID,NCES District Link
zcrm_6229020000027425102,Valley Creek Elementary,zcrm_6229020000009645001,Kayla Heyward,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-06-10 10:22:35,2025-06-10 10:22:35,,false,,,,School,false,,,false,,,,,,,,,,,,,,,,,
zcrm_6229020000027425212,Homeschool,zcrm_6229020000009645001,Kayla Heyward,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-06-10 13:43:13,2025-06-10 13:43:13,,false,,,,District,false,,,false,,,,,,,,,,,,,,,,,
zcrm_6229020000027536021,Rockwall ISD,zcrm_6229020000009645001,Kayla Heyward,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-06-11 08:23:23,2025-06-11 08:23:23,,false,,,,District,false,,,false,,,,,,,,,,,,,,,,,
zcrm_6229020000027707059,IDEA Academy San Benito,zcrm_6229020000009645001,Kayla Heyward,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-06-12 09:57:27,2025-06-12 09:57:27,,false,,,,School,false,,,false,,,,,,,,,,,,,,,,,
zcrm_6229020000027707276,Roy Lee Walker Elementary,zcrm_6229020000009645001,Kayla Heyward,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-06-12 14:37:21,2025-06-12 14:37:21,,false,,,,School,false,,,false,,,,,,,,,,,,,,,,,
zcrm_6229020000027707410,K-12 Rothell ISD,zcrm_6229020000009645001,Kayla Heyward,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-06-12 15:34:52,2025-06-12 15:34:52,,false,,,,District,false,,,false,,,,,,,,,,,,,,,,,
zcrm_6229020000027707615,Humble ISD,zcrm_6229020000009645001,Kayla Heyward,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-06-13 14:10:03,2025-06-13 14:10:03,,false,,,,District,false,,,false,,,,,,,,,,,,,,,,,
zcrm_6229020000027707625,Foster Elementary School,zcrm_6229020000009645001,Kayla Heyward,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-06-13 14:10:23,2025-06-13 14:10:23,,false,,,,School,false,,,false,,,,,,,,,,,,,,,,,
zcrm_6229020000028064033,Doss El,zcrm_6229020000002061001,Zachary Chan,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-06-18 09:15:52,2025-06-18 09:15:52,,false,,,,School,false,zcrm_6229020000024795149,Austin ISD,false,13,Traditional Public,Urban,"Large (900-1,999)",Elementary,,,480894000,7005 NORTHLEDGE DR,Austin,78731,Texas,http://www.austinisd.org/schools/doss,,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=doss&City=austin&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=480894000314,,
zcrm_6229020000028064048,BASIS Texas,zcrm_6229020000002061001,Zachary Chan,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-06-18 09:21:08,2025-06-18 09:21:08,,false,,,,District,false,,,false,,,Urban,,,Public Charter,"5,000 to 9,999",,404 E Ramsey Ste 106,San Antonio,78216,Texas,,http://www.btxschools.org,,4801438,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=2&details=1&ID2=4801438&DistrictID=4801438
zcrm_6229020000028064064,Basis Cedar Park Pri,zcrm_6229020000002061001,Zachary Chan,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-06-18 09:23:06,2025-06-18 09:23:06,,false,,,,School,false,zcrm_6229020000028064048,BASIS Texas,false,,Public Charter,Urban,Medium (600-899),Elementary,,,480143822,165 N LAKELINE BLVD,Cedar Park,78613,Texas,http://enrollbasistx.com/cedarpark/,,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=basis&City=cedar+park&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=480143822938,,
zcrm_6229020000028064114,Baranoff El,zcrm_6229020000002061001,Zachary Chan,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-06-18 09:37:20,2025-06-18 09:37:20,,false,,,,School,false,,,false,13,Traditional Public,Urban,Medium (600-899),Elementary,,,480894008,12009 BUCKINGHAM GATE RD,Austin,78748,Texas,http://www.austinisd.org/schools/baranoff,,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=baranoff&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=480894008393,,
zcrm_6229020000028064240,Dallas ISD,zcrm_6229020000002061001,Zachary Chan,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-06-18 10:19:14,2025-06-18 10:19:14,,false,,,,District,false,,,false,10,,Urban,,,Traditional Public,"25,000 or more",,9400 N Central Expy,Dallas,75231,Texas,,http://www.dallasisd.org,,4816230,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=2&details=1&ID2=4816230&DistrictID=4816230
zcrm_6229020000028064245,Walnut Hill International Leadership Academy,zcrm_6229020000002061001,Zachary Chan,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-06-18 10:21:32,2025-06-18 10:21:32,,false,,,,School,false,zcrm_6229020000028064240,Dallas ISD,false,10,Traditional Public,,Small (300-599),Elementary,,,481623001,3978 KILLION DR,Dallas,75229,Texas,http://www.dallasisd.org/walnuthill,,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=walnut+hill&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=481623001380,,
zcrm_6229020000028122135,SOUTHWEST PREPARATORY SCHOOL,zcrm_6229020000002061001,Zachary Chan,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-06-18 18:11:24,2025-06-18 18:11:24,,false,,,,District,false,,,false,20,,Urban,,,Public Charter,600 to 999,,1258 Austin Hwy,San Antonio,78209,Texas,,http://www.swprep.org,,4800063,https://nces.ed.gov/ccd/districtsearch/district_detail.asp?Search=2&details=1&ID2=4800063&DistrictID=4800063
zcrm_6229020000028122147,Seguin Campus,zcrm_6229020000002061001,Zachary Chan,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-06-18 18:18:08,2025-06-18 18:18:08,,false,,,,School,false,zcrm_6229020000028122135,SOUTHWEST PREPARATORY SCHOOL,false,20,Public Charter,Rural,Very Small (<300),Elementary,,,480006313,2400 E WALNUT ST,Seguin,78155,Texas,http://swprep.org,,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&DistrictID=4800063&ID=480006313468,,
